"","TreeFactor","meanLAI","elevation","slope","aspectcos","solarrad","tree_group"
"1","1478",1.69333333333333,345,0,0,4360196.49234,"3"
"2","2004",2.32333333333333,377,10.0286998748779,-0.707106781186548,2747497.55911,"3"
"3","2005",1.11666666666667,369,33.9053955078125,0,2434060.7373,"3"
"4","2006",2.17,372,14.0413389205933,0,2434118.72284,"3"
"5","2007",1.42666666666667,377,24.1769027709961,-0.928476707906966,2761502.31266,"3"
"6","2008",0.713333333333333,379,13.2675123214722,-0.447213549303144,2775236.88422,"3"
"7","2009",0.666666666666667,342,13.6607542037964,-0.514495812955666,2778000.47989,"2"
"8","2010",1,383,16.7295265197754,0.554700192816621,1780319.07764,"2"
"9","2011",2.05333333333333,380,16.7295265197754,0.316227815015958,1732703.3188,"2"
"10","2012",1.44,349,16.7295265197754,-0.554700137419521,2796893.08089,"3"
"11","2014",0.886666666666667,351,16.7295265197754,-0.707106781186548,2775190.57492,"3"
"12","2015",0.67,350,10.5592803955078,-0.447213549303144,2775236.88422,"3"
"13","2020",2.66666666666667,403,0,0,4360196.49234,"1"
"14","2021",2.62333333333333,400,11.999062538147,0.196116204441375,1479554.59474,"1"
"15","2022",2.81333333333333,398,10.5592803955078,-0.447213549303144,2775236.88422,"1"
"16","2023",1.48,400,13.6607542037964,-0.514495812955666,2792265.01446,"1"
"17","2025",1.49666666666667,400,10.0286998748779,0.707106781186547,1479367.50706,"1"
"18","2026",1.65,410,3.37355852127075,0,1479554.59474,"1"
"19","2027",1.64666666666667,413,3.37355852127075,0.707106781186548,1479367.50706,"1"
"20","2086",1.12,383,0,0,4360196.49234,"4"
"21","2087",1.45333333333333,381,7.50894784927368,-0.316227815015958,2713947.13567,"4"
"22","2088",1.93333333333333,385,10.5592803955078,0.316227815015958,2134386.86326,"4"
"23","2089",3.27666666666667,384,0,0,4360196.49234,"4"
"24","2092",1.19,382,0,0,4360196.49234,"4"
"25","2093",1.85,383,0,0,4360196.49234,"4"
"26","2301",1.68333333333333,344,13.2675123214722,0.707106781186547,1138737.46299,"2"
"27","2343",1.75,340,9.46583461761475,0,2434165.17255,"2"
"28","2346",2.03333333333333,340,18.4414463043213,0,2434095.34175,"2"
"29","2347",1.17333333333333,338,11.999062538147,0.196116073869159,2268692.14246,"2"
"30","2352",0.93,369,11.999062538147,0.196116073869159,2268692.14246,"2"
"31","2354",1.93333333333333,366,11.999062538147,0.196116073869159,2268692.14246,"2"
"32","2370",0.646666666666667,334,0,0,4360196.49234,"2"
"33","2371",1.09,335,0,0,4360196.49234,"2"
"34","2373",0.693333333333333,337,17.6117191314697,0.919145038190574,1082221.87281,"2"
"35","2375",1.72,336,9.46583461761475,0,2434165.17255,"2"
"36","2378",1.58333333333333,375,18.4414463043213,0,2434095.34175,"2"
"37","2379",2.41333333333333,377,18.4414463043213,0,2434095.34175,"2"
"38","2380",1.61333333333333,378,18.4414463043213,0,2775169.0325,"2"
"39","2381",1.33,384,0,0,4360196.49234,"2"
"40","2384",1.78666666666667,382,13.6607542037964,0.857492925450287,1217028.07164,"2"
