Record Type,Date and Time,Epoch,Tree Num,Direction,Note,Average Above PAR,Average Below PAR,Tau [Τ],Leaf Distribution [Χ],Extinction Coefficient [K],Leaf Area Index [LAI],Beam Fraction [Fb],Zenith Angle,Latitude,Longitude,
SUM,4/1/2022 12:25:52 PM,1648815952,2370,S,,1790.942175,1565.9,0.874,1.00,0.640,0.21,0.87,38°,34°,-120°,
SUM,4/1/2022 12:26:08 PM,1648815968,2370,W,,1791.060902,1187.1,0.663,1.00,0.640,0.60,0.68,38°,34°,-120°,
SUM,4/1/2022 12:26:31 PM,1648815991,2370,N,not shaded,1791.291275,717.7,0.401,1.00,0.631,1.10,0.14,37°,34°,-120°,
SUM,4/1/2022 12:27:01 PM,1648816021,2370,E,,1791.69474,697.9,0.390,1.00,0.631,1.13,0.11,37°,34°,-120°,
SUM,4/1/2022 12:27:55 PM,1648816075,2370,Round,,1792.702176,580.6,0.324,1.00,0.631,1.31,0.00,37°,34°,-120°,
SUM,4/1/2022 12:28:51 PM,1648816131,2371,S,,1794.10643,1461.9,0.815,1.00,0.631,0.32,0.81,37°,34°,-120°,
SUM,4/1/2022 12:29:15 PM,1648816155,2371,W,,1794.813635,410.9,0.229,1.00,0.631,1.72,0.01,37°,34°,-120°,557135183.9
SUM,4/1/2022 12:29:39 PM,1648816179,2371,N,shaded by trunk,1795.580962,88.1,0.049,1.00,0.631,3.52,0.02,37°,34°,-120°,
SUM,4/1/2022 12:29:56 PM,1648816196,2371,E,,1796.159685,632.5,0.352,1.00,0.631,1.23,0.05,37°,34°,-120°,
SUM,4/1/2022 12:30:52 PM,1648816252,2371,Round,28 mnts,1798.245246,354.8,0.197,1.00,0.631,1.89,0.00,37°,34°,-120°,
SUM,4/1/2022 12:31:28 PM,1648816288,2372,S,,1799.681081,231.1,0.128,1.00,0.631,2.40,0.02,37°,34°,-120°,
SUM,4/1/2022 12:31:47 PM,1648816307,2372,W,,1800.451867,254.8,0.142,1.00,0.631,2.28,0.02,37°,34°,-120°,
SUM,4/1/2022 12:32:17 PM,1648816337,2372,N,not shaded,1801.668815,793.5,0.440,1.00,0.631,1.02,0.25,37°,34°,-120°,
SUM,4/1/2022 12:32:35 PM,1648816355,2372,E,,1802.390437,277.4,0.154,1.00,0.631,2.19,0.02,37°,34°,-120°,
SUM,4/1/2022 12:33:27 PM,1648816407,2372,Round,,1804.385676,350.0,0.194,1.00,0.631,1.92,0.02,37°,34°,-120°,
SUM,4/1/2022 12:34:29 PM,1648816469,2308/2309,S,,1806.453953,259.6,0.144,1.00,0.623,2.27,0.02,36°,34°,-120°,
SUM,4/1/2022 12:34:52 PM,1648816492,2308/2309,W,,1807.095966,529.5,0.293,1.00,0.623,1.43,0.00,36°,34°,-120°,
SUM,4/1/2022 12:35:17 PM,1648816517,2308/2309,N,partly shaded,1807.698932,368.8,0.204,1.00,0.623,1.86,0.02,36°,34°,-120°,
SUM,4/1/2022 12:35:44 PM,1648816544,2308/2309,E,,1808.24321,1039.1,0.575,1.00,0.623,0.76,0.52,36°,34°,-120°,
SUM,4/1/2022 12:36:29 PM,1648816589,2308/2309,Round,,1808.945786,521.5,0.288,1.00,0.623,1.45,0.02,36°,34°,-120°,
SUM,4/1/2022 12:37:52 PM,1648816672,2307,S,,1809.79392,293.7,0.162,1.00,0.623,2.12,0.02,36°,34°,-120°,
SUM,4/1/2022 12:38:10 PM,1648816690,2307,W,,1809.937181,1529.2,0.845,1.00,0.623,0.27,0.85,36°,34°,-120°,
SUM,4/1/2022 12:38:36 PM,1648816716,2307,N,,1810.138196,183.5,0.101,1.00,0.623,2.67,0.02,36°,34°,-120°,
SUM,4/1/2022 12:38:56 PM,1648816736,2307,E,,1810.296038,428.6,0.237,1.00,0.623,1.68,0.02,36°,34°,-120°,
SUM,4/1/2022 12:39:44 PM,1648816784,2307,Round,18 mnts,1810.727813,653.8,0.361,1.00,0.623,1.19,0.02,36°,34°,-120°,
SUM,4/1/2022 12:40:34 PM,1648816834,2306,S,7 mnts,1811.328072,682.8,0.377,1.00,0.623,1.17,0.12,36°,34°,-120°,
SUM,4/1/2022 12:41:26 PM,1648816886,2306,W,,1812.127583,512.7,0.283,1.00,0.623,1.47,0.00,36°,34°,-120°,
SUM,4/1/2022 12:41:45 PM,1648816905,2306,N,,1812.456251,1081.1,0.596,1.00,0.615,0.69,0.41,35°,34°,-120°,
SUM,4/1/2022 12:42:01 PM,1648816921,2306,E,,1812.745737,313.6,0.173,1.00,0.615,2.05,0.02,35°,34°,-120°,
SUM,4/1/2022 12:43:06 PM,1648816986,2306,Round,26 mnts,1814.014734,476.7,0.263,1.00,0.615,1.56,0.02,35°,34°,-120°,
SUM,4/1/2022 12:43:55 PM,1648817035,2373,S,,1815.033373,1212.7,0.668,1.00,0.615,0.59,0.65,35°,34°,-120°,
SUM,4/1/2022 12:44:11 PM,1648817051,2373,W,,1815.370717,1081.7,0.596,1.00,0.615,0.73,0.56,35°,34°,-120°,
SUM,4/1/2022 12:44:30 PM,1648817070,2373,N,shaded by trunk,1815.771519,111.1,0.061,1.00,0.615,3.26,0.02,35°,34°,-120°,
SUM,4/1/2022 12:44:49 PM,1648817089,2373,E,,1816.170578,1046.5,0.576,1.00,0.615,0.76,0.51,35°,34°,-120°,
SUM,4/1/2022 12:45:42 PM,1648817142,2373,Round,24 mnts,1817.260454,713.2,0.392,1.00,0.615,1.17,0.25,35°,34°,-120°,
